Year,Value
1960,591841
1961,495570
1962,466851
1963,5009730
1964,5906225
1965,697091
1966,7587943
1967,72057028
1968,6999349
1969,78718820
1970,915062
1971,9856202
1972,1121598136
1973,13676987
1974,14225474207
1975,16116249
1976,1516276873
1977,17234901
1978,148382111
1979,1768565
1980,189649992
1981,1943690490
1982,20354962721
1983,22895020077
1984,258082147252
1986,298805792
1987,2713497734
1988,310722213686
1989,345957485871
1990,358973230
1991,3814547038
1992,42493406594
1993,44287459638
1995,732032045217
1996,860844098049
1997,95815942483
1998,10252769020
1999,1089447108705
2000,1205260678391
2001,1332234719889
2002,1461906487857
2003,1649928718134
2004,1941745602165
2005,2268598904116
2006,272978403190
2007,3523094314820
2008,4558431073438
2009,5059419738267
2010,6039658508485
2011,7492432097810
2012,8461623162714
2013,9490602600148
2014,1035483172934
2015,1135483172934
